model_path,thumbnail_path,category,fourier_feature,zernike_feature
3d-dataset\3D Models\Abstract\Abstractshape1.obj,3d-dataset\Thumbnails\Abstract\Abstractshape1.jpg,Abstract,5.539572923852172,0.4328400960956078
3d-dataset\3D Models\Abstract\Abstractshape10.obj,3d-dataset\Thumbnails\Abstract\Abstractshape10.jpg,Abstract,5.194600456758961,0.43685225709922015
3d-dataset\3D Models\Abstract\Abstractshape11.obj,3d-dataset\Thumbnails\Abstract\Abstractshape11.jpg,Abstract,5.7683452487265425,0.4374325644199329
3d-dataset\3D Models\Abstract\Abstractshape12.obj,3d-dataset\Thumbnails\Abstract\Abstractshape12.jpg,Abstract,5.344699003343365,0.38434884022500065
3d-dataset\3D Models\Abstract\Abstractshape13.obj,3d-dataset\Thumbnails\Abstract\Abstractshape13.jpg,Abstract,5.378340084189847,0.4464772779257103
3d-dataset\3D Models\Abstract\Abstractshape14.obj,3d-dataset\Thumbnails\Abstract\Abstractshape14.jpg,Abstract,6.577375289086364,0.4237467458949866
3d-dataset\3D Models\Abstract\Abstractshape15.obj,3d-dataset\Thumbnails\Abstract\Abstractshape15.jpg,Abstract,5.935155038264252,0.4227388461778179
3d-dataset\3D Models\Abstract\Abstractshape16.obj,3d-dataset\Thumbnails\Abstract\Abstractshape16.jpg,Abstract,6.676949076564177,0.3883335966999719
3d-dataset\3D Models\Abstract\Abstractshape17.obj,3d-dataset\Thumbnails\Abstract\Abstractshape17.jpg,Abstract,17.438036224430622,0.4420157567366765
3d-dataset\3D Models\Abstract\Abstractshape18.obj,3d-dataset\Thumbnails\Abstract\Abstractshape18.jpg,Abstract,5.3722806526558085,0.4196971778950258
3d-dataset\3D Models\Abstract\Abstractshape19.obj,3d-dataset\Thumbnails\Abstract\Abstractshape19.jpg,Abstract,6.220586044739488,0.4230025891599625
3d-dataset\3D Models\Abstract\Abstractshape2.obj,3d-dataset\Thumbnails\Abstract\Abstractshape2.jpg,Abstract,6.249063634974585,0.4265314077275302
3d-dataset\3D Models\Abstract\Abstractshape20.obj,3d-dataset\Thumbnails\Abstract\Abstractshape20.jpg,Abstract,6.442803953141123,0.42887660858474946
3d-dataset\3D Models\Abstract\Abstractshape21.obj,3d-dataset\Thumbnails\Abstract\Abstractshape21.jpg,Abstract,5.175755256900817,0.42819594705449
3d-dataset\3D Models\Abstract\Abstractshape22.obj,3d-dataset\Thumbnails\Abstract\Abstractshape22.jpg,Abstract,6.416306947484928,0.49874051837401884
3d-dataset\3D Models\Abstract\Abstractshape23.obj,3d-dataset\Thumbnails\Abstract\Abstractshape23.jpg,Abstract,5.99321480647767,0.45735994627975857
3d-dataset\3D Models\Abstract\Abstractshape24.obj,3d-dataset\Thumbnails\Abstract\Abstractshape24.jpg,Abstract,6.181143928505353,0.4268168145395938
3d-dataset\3D Models\Abstract\Abstractshape25.obj,3d-dataset\Thumbnails\Abstract\Abstractshape25.jpg,Abstract,5.531515095538642,0.4789145807466215
3d-dataset\3D Models\Abstract\Abstractshape26.obj,3d-dataset\Thumbnails\Abstract\Abstractshape26.jpg,Abstract,6.431625799029189,0.4297690811829762
3d-dataset\3D Models\Abstract\Abstractshape27.obj,3d-dataset\Thumbnails\Abstract\Abstractshape27.jpg,Abstract,5.467659344848122,0.4626993187669153
3d-dataset\3D Models\Abstract\Abstractshape28.obj,3d-dataset\Thumbnails\Abstract\Abstractshape28.jpg,Abstract,6.334383578385008,0.4353168918046735
3d-dataset\3D Models\Abstract\Abstractshape29.obj,3d-dataset\Thumbnails\Abstract\Abstractshape29.jpg,Abstract,5.369960000958921,0.44844663660605155
3d-dataset\3D Models\Abstract\Abstractshape3.obj,3d-dataset\Thumbnails\Abstract\Abstractshape3.jpg,Abstract,6.314697612840361,0.41732254367920146
3d-dataset\3D Models\Abstract\Abstractshape30.obj,3d-dataset\Thumbnails\Abstract\Abstractshape30.jpg,Abstract,5.480750383698189,0.47602372642688956
3d-dataset\3D Models\Abstract\Abstractshape31.obj,3d-dataset\Thumbnails\Abstract\Abstractshape31.jpg,Abstract,5.371894189566746,0.4680813964090451
3d-dataset\3D Models\Abstract\Abstractshape32.obj,3d-dataset\Thumbnails\Abstract\Abstractshape32.jpg,Abstract,5.200791952273835,0.44213304665394104
3d-dataset\3D Models\Abstract\Abstractshape33.obj,3d-dataset\Thumbnails\Abstract\Abstractshape33.jpg,Abstract,5.360164360258361,0.44506564806309834
3d-dataset\3D Models\Abstract\Abstractshape34.obj,3d-dataset\Thumbnails\Abstract\Abstractshape34.jpg,Abstract,6.542191078223513,0.4069957116601646
3d-dataset\3D Models\Abstract\Abstractshape35.obj,3d-dataset\Thumbnails\Abstract\Abstractshape35.jpg,Abstract,6.243905701629741,0.4114854566701456
3d-dataset\3D Models\Abstract\Abstractshape36.obj,3d-dataset\Thumbnails\Abstract\Abstractshape36.jpg,Abstract,6.447910649144581,0.42117889310398643
3d-dataset\3D Models\Abstract\Abstractshape37.obj,3d-dataset\Thumbnails\Abstract\Abstractshape37.jpg,Abstract,6.297719932361012,0.42759875323743163
3d-dataset\3D Models\Abstract\Abstractshape38.obj,3d-dataset\Thumbnails\Abstract\Abstractshape38.jpg,Abstract,6.378943662621764,0.43083086107754953
3d-dataset\3D Models\Abstract\Abstractshape39.obj,3d-dataset\Thumbnails\Abstract\Abstractshape39.jpg,Abstract,6.387170275206972,0.41693557034240625
3d-dataset\3D Models\Abstract\Abstractshape4.obj,3d-dataset\Thumbnails\Abstract\Abstractshape4.jpg,Abstract,6.477237720402787,0.4325934224075986
3d-dataset\3D Models\Abstract\Abstractshape40.obj,3d-dataset\Thumbnails\Abstract\Abstractshape40.jpg,Abstract,6.290516662577252,0.4160313632930667
3d-dataset\3D Models\Abstract\Abstractshape41.obj,3d-dataset\Thumbnails\Abstract\Abstractshape41.jpg,Abstract,5.140969537706483,0.45963645584344687
3d-dataset\3D Models\Abstract\Abstractshape42.obj,3d-dataset\Thumbnails\Abstract\Abstractshape42.jpg,Abstract,5.501712502087194,0.4667005153235649
3d-dataset\3D Models\Abstract\Abstractshape43.obj,3d-dataset\Thumbnails\Abstract\Abstractshape43.jpg,Abstract,6.281252585038894,0.3810736980735481
3d-dataset\3D Models\Abstract\Abstractshape44.obj,3d-dataset\Thumbnails\Abstract\Abstractshape44.jpg,Abstract,6.067399965342741,0.44356411087707803
3d-dataset\3D Models\Abstract\Abstractshape45.obj,3d-dataset\Thumbnails\Abstract\Abstractshape45.jpg,Abstract,6.416480882040116,0.41552830380601097
