model_path,thumbnail_path,category,fourier_feature,zernike_feature
3d-dataset\3D Models\Abstract\Abstractshape1.obj,3d-dataset\Thumbnails\Abstract\Abstractshape1.jpg,Abstract,4.723664863274481,0.4332374280265494
3d-dataset\3D Models\Abstract\Abstractshape10.obj,3d-dataset\Thumbnails\Abstract\Abstractshape10.jpg,Abstract,4.556151540303596,0.43521265759987166
3d-dataset\3D Models\Abstract\Abstractshape11.obj,3d-dataset\Thumbnails\Abstract\Abstractshape11.jpg,Abstract,4.9937348359563645,0.4477135842088826
3d-dataset\3D Models\Abstract\Abstractshape12.obj,3d-dataset\Thumbnails\Abstract\Abstractshape12.jpg,Abstract,4.63824346879103,0.39665507463133043
3d-dataset\3D Models\Abstract\Abstractshape13.obj,3d-dataset\Thumbnails\Abstract\Abstractshape13.jpg,Abstract,4.620581639375217,0.43964370821877935
3d-dataset\3D Models\Abstract\Abstractshape14.obj,3d-dataset\Thumbnails\Abstract\Abstractshape14.jpg,Abstract,5.699865057800226,0.4378184658386328
3d-dataset\3D Models\Abstract\Abstractshape15.obj,3d-dataset\Thumbnails\Abstract\Abstractshape15.jpg,Abstract,5.116502443356789,0.427086966058464
3d-dataset\3D Models\Abstract\Abstractshape16.obj,3d-dataset\Thumbnails\Abstract\Abstractshape16.jpg,Abstract,5.772314547043679,0.3961831911600255
3d-dataset\3D Models\Abstract\Abstractshape17.obj,3d-dataset\Thumbnails\Abstract\Abstractshape17.jpg,Abstract,15.97355762272266,0.45551507725503804
3d-dataset\3D Models\Abstract\Abstractshape18.obj,3d-dataset\Thumbnails\Abstract\Abstractshape18.jpg,Abstract,4.669539751656972,0.4246834065499255
3d-dataset\3D Models\Abstract\Abstractshape19.obj,3d-dataset\Thumbnails\Abstract\Abstractshape19.jpg,Abstract,5.367620966318419,0.4447769136283683
3d-dataset\3D Models\Abstract\Abstractshape2.obj,3d-dataset\Thumbnails\Abstract\Abstractshape2.jpg,Abstract,5.424412724945574,0.42556780511069814
3d-dataset\3D Models\Abstract\Abstractshape20.obj,3d-dataset\Thumbnails\Abstract\Abstractshape20.jpg,Abstract,5.474667842631504,0.4355522258024444
3d-dataset\3D Models\Abstract\Abstractshape21.obj,3d-dataset\Thumbnails\Abstract\Abstractshape21.jpg,Abstract,4.5145110021967545,0.4363377777718298
3d-dataset\3D Models\Abstract\Abstractshape22.obj,3d-dataset\Thumbnails\Abstract\Abstractshape22.jpg,Abstract,5.588672793700634,0.5096344605022087
3d-dataset\3D Models\Abstract\Abstractshape23.obj,3d-dataset\Thumbnails\Abstract\Abstractshape23.jpg,Abstract,5.137253177403805,0.4646530388436821
3d-dataset\3D Models\Abstract\Abstractshape24.obj,3d-dataset\Thumbnails\Abstract\Abstractshape24.jpg,Abstract,5.374869066993017,0.43952024521389604
3d-dataset\3D Models\Abstract\Abstractshape25.obj,3d-dataset\Thumbnails\Abstract\Abstractshape25.jpg,Abstract,4.789441807031675,0.47631554031174805
3d-dataset\3D Models\Abstract\Abstractshape26.obj,3d-dataset\Thumbnails\Abstract\Abstractshape26.jpg,Abstract,5.518301920267468,0.436278350129132
3d-dataset\3D Models\Abstract\Abstractshape27.obj,3d-dataset\Thumbnails\Abstract\Abstractshape27.jpg,Abstract,4.64079107278738,0.46100613282544173
3d-dataset\3D Models\Abstract\Abstractshape28.obj,3d-dataset\Thumbnails\Abstract\Abstractshape28.jpg,Abstract,5.4896281291686195,0.44719923462862116
3d-dataset\3D Models\Abstract\Abstractshape29.obj,3d-dataset\Thumbnails\Abstract\Abstractshape29.jpg,Abstract,4.506281095092898,0.4493668515076714
3d-dataset\3D Models\Abstract\Abstractshape3.obj,3d-dataset\Thumbnails\Abstract\Abstractshape3.jpg,Abstract,5.518909583482463,0.43796440333239506
3d-dataset\3D Models\Abstract\Abstractshape30.obj,3d-dataset\Thumbnails\Abstract\Abstractshape30.jpg,Abstract,4.654704991340694,0.47685522302820954
3d-dataset\3D Models\Abstract\Abstractshape31.obj,3d-dataset\Thumbnails\Abstract\Abstractshape31.jpg,Abstract,4.523041618448981,0.4643627692949934
3d-dataset\3D Models\Abstract\Abstractshape32.obj,3d-dataset\Thumbnails\Abstract\Abstractshape32.jpg,Abstract,4.3997960239326375,0.44328584275863064
