model_path,thumbnail_path,category,fourier_feature,zernike_feature
3d-dataset\3D Models\Abstract\Abstractshape1.obj,3d-dataset\Thumbnails\Abstract\Abstractshape1.jpg,Abstract,3.169256081172987,0.447422017061681
3d-dataset\3D Models\Abstract\Abstractshape10.obj,3d-dataset\Thumbnails\Abstract\Abstractshape10.jpg,Abstract,3.0311144449033836,0.4487039851284697
3d-dataset\3D Models\Abstract\Abstractshape11.obj,3d-dataset\Thumbnails\Abstract\Abstractshape11.jpg,Abstract,3.3977149213396527,0.46868591156447464
3d-dataset\3D Models\Abstract\Abstractshape12.obj,3d-dataset\Thumbnails\Abstract\Abstractshape12.jpg,Abstract,3.0797872704109928,0.410745405805566
3d-dataset\3D Models\Abstract\Abstractshape13.obj,3d-dataset\Thumbnails\Abstract\Abstractshape13.jpg,Abstract,3.140993541842643,0.444845903973298
3d-dataset\3D Models\Abstract\Abstractshape14.obj,3d-dataset\Thumbnails\Abstract\Abstractshape14.jpg,Abstract,3.7170582996676385,0.45295688068681317
3d-dataset\3D Models\Abstract\Abstractshape15.obj,3d-dataset\Thumbnails\Abstract\Abstractshape15.jpg,Abstract,3.4215000780822384,0.4420921303828244
3d-dataset\3D Models\Abstract\Abstractshape16.obj,3d-dataset\Thumbnails\Abstract\Abstractshape16.jpg,Abstract,3.8718156998420956,0.40749884487346466
3d-dataset\3D Models\Abstract\Abstractshape17.obj,3d-dataset\Thumbnails\Abstract\Abstractshape17.jpg,Abstract,11.883098467464448,0.4978088496739934
3d-dataset\3D Models\Abstract\Abstractshape18.obj,3d-dataset\Thumbnails\Abstract\Abstractshape18.jpg,Abstract,3.024819848413452,0.42175387709373297
3d-dataset\3D Models\Abstract\Abstractshape19.obj,3d-dataset\Thumbnails\Abstract\Abstractshape19.jpg,Abstract,3.648661287527052,0.47039065964576476
3d-dataset\3D Models\Abstract\Abstractshape2.obj,3d-dataset\Thumbnails\Abstract\Abstractshape2.jpg,Abstract,3.6821603081626755,0.44485190358749743
3d-dataset\3D Models\Abstract\Abstractshape20.obj,3d-dataset\Thumbnails\Abstract\Abstractshape20.jpg,Abstract,3.6546793698073303,0.44650605318574615
3d-dataset\3D Models\Abstract\Abstractshape21.obj,3d-dataset\Thumbnails\Abstract\Abstractshape21.jpg,Abstract,2.988630975882924,0.4338741667226252
3d-dataset\3D Models\Abstract\Abstractshape22.obj,3d-dataset\Thumbnails\Abstract\Abstractshape22.jpg,Abstract,3.8026515196347135,0.49491101650353037
3d-dataset\3D Models\Abstract\Abstractshape23.obj,3d-dataset\Thumbnails\Abstract\Abstractshape23.jpg,Abstract,3.407026774254522,0.48548138369895993
3d-dataset\3D Models\Abstract\Abstractshape24.obj,3d-dataset\Thumbnails\Abstract\Abstractshape24.jpg,Abstract,3.5588151405674733,0.45337246644453205
3d-dataset\3D Models\Abstract\Abstractshape25.obj,3d-dataset\Thumbnails\Abstract\Abstractshape25.jpg,Abstract,3.249428461148228,0.4615634338221739
3d-dataset\3D Models\Abstract\Abstractshape26.obj,3d-dataset\Thumbnails\Abstract\Abstractshape26.jpg,Abstract,3.7432127006213003,0.451904147489026
3d-dataset\3D Models\Abstract\Abstractshape27.obj,3d-dataset\Thumbnails\Abstract\Abstractshape27.jpg,Abstract,3.0991117189285102,0.46850057214423346
3d-dataset\3D Models\Abstract\Abstractshape28.obj,3d-dataset\Thumbnails\Abstract\Abstractshape28.jpg,Abstract,3.7480674629571697,0.4676235892055314
3d-dataset\3D Models\Abstract\Abstractshape29.obj,3d-dataset\Thumbnails\Abstract\Abstractshape29.jpg,Abstract,2.9580810570628477,0.45338495237785215
3d-dataset\3D Models\Abstract\Abstractshape3.obj,3d-dataset\Thumbnails\Abstract\Abstractshape3.jpg,Abstract,3.6989266866083197,0.44908888504519
3d-dataset\3D Models\Abstract\Abstractshape30.obj,3d-dataset\Thumbnails\Abstract\Abstractshape30.jpg,Abstract,3.121807127509932,0.44163829688637213
3d-dataset\3D Models\Abstract\Abstractshape31.obj,3d-dataset\Thumbnails\Abstract\Abstractshape31.jpg,Abstract,2.9941182743502934,0.45010138801883687
3d-dataset\3D Models\Abstract\Abstractshape32.obj,3d-dataset\Thumbnails\Abstract\Abstractshape32.jpg,Abstract,2.954167732144747,0.44700298656378673
3d-dataset\3D Models\Abstract\Abstractshape33.obj,3d-dataset\Thumbnails\Abstract\Abstractshape33.jpg,Abstract,3.042903163428206,0.4561445649558564
3d-dataset\3D Models\Abstract\Abstractshape34.obj,3d-dataset\Thumbnails\Abstract\Abstractshape34.jpg,Abstract,3.72960412524115,0.42472151508070893
